TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Troy,SB,5,104.1168,98.973,.6435114,49.2206,47.9115,23.8347,20.776,38.330,33.7276,26.6297,24.846,55.491,49.5150,26.1320,29.596,70.3115,-0.45131
Charleston,CAA,5,107.4115,102.1125,.6395115,54.588,52.3223,19.0229,18.7145,27.5236,25.363,38.0123,34.1183,53.5130,53.1212,37.666,34.1215,71.366,-0.1687
Sam Houston St.,CUSA,5,108.796,103.5146,.6371116,56.446,55.7299,19.6254,22.151,32.6118,43.0355,31.8224,35.2199,49.3216,54.5240,44.07,38.6319,70.5102,-0.33108
Virginia Tech,ACC,5,106.6130,101.5111,.6365117,49.8192,50.5188,21.8321,20.192,38.035,25.976,46.231,33.9180,51.6164,55.1260,31.6213,29.184,68.7230,-1.3224
Samford,SC,6,109.290,104.2161,.6308118,55.268,51.2200,19.5252,19.5113,32.0135,37.5327,34.7168,47.1327,53.8122,57.3301,37.763,27.648,74.43,-0.8173
South Florida   vs. 168 Middle Tennessee,Amer,5,105.2150,100.798,.6248119,49.2206,47.2100,16.5119,15.9251,29.7187,26.690,38.2122,40.3275,52.7149,53.3217,29.9253,25.020,70.3118,-0.9188
Murray St.   (H) 139 Utah Valley,MVC,4,108.894,104.7174,.6073120,57.535,47.9115,18.3199,13.3332,29.7187,25.258,41.670,42.3295,59.832,50.0162,35.9100,29.386,68.2260,-0.0375
St. Bonaventure,A10,5,105.3149,101.5110,.6038121,52.2138,47.4102,17.3152,20.287,35.367,25.258,44.645,19.811,58.156,44.865,29.5260,33.6202,67.3312,+0.3539
Southern Illinois   (A) 31 Florida,MVC,4,103.5186,100.091,.5987122,52.8121,48.4130,15.791,15.2275,22.8326,28.4139,33.0202,30.3115,54.1119,47.9115,33.3154,32.8177,69.9146,-1.2214
Temple   vs. 95 Florida St.,Amer,4,108.3102,104.6172,.5986123,53.798,43.237,14.047,15.4270,29.7187,35.3304,44.844,25.558,49.3216,44.865,41.320,27.039,69.4184,-0.5141
Rhode Island,A10,4,109.386,105.7198,.5951124,58.228,40.614,11.75,16.2237,23.9310,28.7149,66.72,37.7240,63.78,41.328,30.8233,26.432,71.368,+0.1161
Towson,CAA,5,105.5147,102.0121,.5940125,44.3305,49.5161,13.742,16.7220,30.5171,31.5234,39.992,44.7312,42.8317,54.5240,31.1224,27.750,65.2357,-0.43129
James Madison   vs. 143 UC San Diego,SB,5,105.6145,102.2126,.5911126,54.878,57.0330,19.9263,16.0244,38.722,19.56,33.2196,36.3219,54.3113,56.4291,36.880,38.8323,69.7160,-1.2213
Lipscomb,ASun,6,108.2104,105.0181,.5856127,49.0210,54.8279,16.2109,16.9206,20.2355,28.0129,23.1336,21.825,53.2138,56.8294,29.1273,34.5233,69.7166,-1.6252
Princeton   vs. 174 Texas St.,Ivy,6,108.0108,104.9177,.5851128,53.4108,53.2245,14.456,18.1167,20.8346,27.6118,34.4174,29.093,49.7203,53.6224,38.844,35.1245,67.4307,-1.1200
Akron   (H) 279 Lamar,MAC,3,104.8159,101.8119,.5807129,44.1307,53.1242,15.997,17.3191,27.7232,38.8337,14.6362,16.83,35.4362,58.5318,37.174,28.672,68.4250,-0.9181
Charlotte,Amer,4,106.4133,103.5145,.5796130,51.4159,53.6256,14.352,15.0279,25.8276,29.6177,42.563,30.4116,51.6164,59.2327,34.1140,28.672,65.7351,-0.2297
George Washington   vs. 46 Kansas St.,A10,4,108.4101,105.6194,.5744131,52.9116,45.057,15.791,21.463,36.158,29.1157,41.274,20.313,63.411,42.537,25.0330,33.3190,70.4107,+0.0965
Vermont,AE,5,102.3213,99.888,.5690132,44.9295,48.4130,17.9174,17.9175,21.5340,38.2330,24.3325,26.664,41.8326,46.688,32.5179,34.7239,65.0358,-1.3228
Bryant,AE,5,104.1170,101.7116,.5652133,49.4202,44.654,18.2193,18.2159,33.3102,31.1222,35.5150,38.5250,45.3284,44.461,38.058,29.9101,73.86,-1.7258
UC Santa Barbara,BW,5,109.291,106.7228,.5650134,58.922,47.5105,18.7217,14.7293,29.8185,23.838,34.2180,26.664,60.229,48.6123,38.353,30.6122,68.8223,-0.6146
